순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
64,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9.78894E+12,74810,813.7,"2,711"
65,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,8,9.79117E+12,77490,472,"2,702"
66,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,4,9.79117E+12,77030,388,"2,700"
67,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,1,9.79117E+12,74810,980.2,"2,689"
68,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,64,9.79117E+12,77720,711.4,"2,675"
69,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,7,9.79117E+12,77490,472,"2,660"
70,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,3,9.79117E+12,77400,400,"2,656"
71,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,5,9.79116E+12,77490,472,"2,649"
72,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,0,9.78893E+12,77400,400,"2,641"
73,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,3,9.79117E+12,77030,388,"2,638"
74,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,3,9.78893E+12,,,"2,636"
75,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,6,9.79117E+12,74810,813.5,"2,623"
76,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,1,9.79116E+12,77490,472,"2,616"
77,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,1,9.79117E+12,77810,810,"2,615"
78,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,3,9.79116E+12,77490,472,"2,604"
79,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,12,9.79119E+12,77400,400,"2,597"
80,흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ,원작: 흔한남매 ;그림: 유난희,미래엔,2022,,9.79117E+12,77810,810,"2,587"
81,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,1,9.79117E+12,77030,388,"2,560"
82,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,61,9.79117E+12,77720,711.4,"2,539"
83,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,2,9.79116E+12,77490,472,"2,538"
84,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,2,9.79117E+12,77400,400,"2,525"
85,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,53,9.78895E+12,77720,711.4,"2,522"
86,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,2,9.79117E+12,74810,980.2,"2,521"
87,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,2,9.79116E+12,77810,691,"2,515"
88,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,7,9.78894E+12,73810,813.7,"2,506"
89,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,2,9.79117E+12,77030,388,"2,505"
90,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,30,9.79119E+12,74910,911,"2,496"
91,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,14,9.79117E+12,77490,472,"2,488"
92,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,1,9.79117E+12,77400,400,"2,487"
93,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,18,9.79117E+12,77810,810,"2,485"
94,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,4,9.79117E+12,77400,400,"2,480"
95,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,2,9.78894E+12,74810,813.7,"2,477"
96,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,13,9.79117E+12,77400,400,"2,462"
97,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,3,9.78894E+12,74810,813.7,"2,461"
98,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,4,9.79117E+12,77810,691,"2,452"
99,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,3,9.79116E+12,77810,691,"2,450"
100,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,28,9.79119E+12,74910,911,"2,434"
101,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,6,9.78894E+12,73810,813.7,"2,426"
102,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,1,9.79116E+12,77810,691,"2,421"
103,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,60,9.79117E+12,77720,711.4,"2,398"
104,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,59,9.78895E+12,77720,711.4,"2,389"
105,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,5,9.78894E+12,73810,813.7,"2,378"
106,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,31,9.79119E+12,74910,911,"2,376"
107,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,5,9.79117E+12,77810,691,"2,366"
108,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,65,9.79117E+12,77720,711.4,"2,354"
109,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,52,9.78895E+12,77720,711.4,"2,345"
110,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,2,9.79117E+12,77810,810,"2,333"
111,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,55,9.78895E+12,77720,711.4,"2,325"
111,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,27,9.79119E+12,74910,911,"2,325"
113,놓지 마 맞춤법,"신태훈,나승훈 글·그림",김영사,2023,1,9.78893E+12,77700,711,"2,319"
114,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,4,9.79113E+12,77700,710,"2,318"
115,놓지 마 맞춤법,"신태훈,나승훈 글·그림",김영사,2023,4,9.78893E+12,77700,711,"2,302"
