순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
130,80세의 벽 :벽을 넘어서면 인생에서 가장 행복한 20년이 기다린다 ,와다 히데키 지음 ;김동연 옮김,한즈미디어,2022,,9.79116E+12,3510,517.376,404
131,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,2022,2,9.79117E+12,4840,843.6,403
132,혼불 :대하소설,崔明姬,매안,2009,3,9.78899E+12,4810,813.6,402
133,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,4,9.78897E+12,4810,813.6,399
134,한국인 :이원호 기업개척사 ,이원호 지음,한결미디어,2024,1,9.79116E+12,4810,813.7,396
135,전설의 보스 =이원호 장편소설 /The boss of legend ,이원호 지음,한결미디어,2021,1,9.79116E+12,4810,813.62,395
135,손자병법 :세상의 모든 전략과 전술 ,손무 원작 ;임용한 엮고 씀,교보문고,2025,,9.79117E+12,3900,152.27,395
135,단 한 번의 삶 ,지은이: 김영하,복복서가,2025,,9.79119E+12,3810,814.62,395
138,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,3,9.78897E+12,4810,813.6,393
139,"질병 해방 :치매, 암, 당뇨, 심장병과 노화를 피하고 건강하게 오래 사는 법 ","피터 아티아,이한음 옮김",부키,2024,,9.79119E+12,3510,511.1689,392
140,"신독, 혼자 있는 시간의 힘 :당신은 혼자 있는 시간을 무엇으로 채우는가? ",조윤제 지음,비즈니스북스,2024,,9.79116E+12,3190,199.1,391
140,왜 그들만 부자가 되는가 :부의 격차를 좁히는 진짜 돈의 모습 ,"필립 바구스,배진아 옮김",책읽어주는남자,2025,,9.79119E+12,3320,327,391
142,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,4,9.78897E+12,4810,813.6,389
143,내가 생각한 인생이 아니야 ,지은이: 류시화,수오서재,2023,,9.79119E+12,3810,814.62,388
143,환율의 대전환 :경제 질서의 변곡점에서 글로벌 통화의 미래를 말하다 ,오건영 지음,콘텐츠그룹 포레스트,2025,,9.79119E+12,3320,327.94,388
145,한국인 :이원호 기업개척사 ,이원호 지음,한결미디어,2024,2,9.79116E+12,4810,813.7,386
146,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게 ,정희원 지음,길벗,2023,,9.79114E+12,3510,511.1687,385
147,내가 의대에서 가르친 거짓말들 :건강을 책임진다고 믿었던 현대 의학은 어떻게 우리를 더 병들게 했는가 ,로버트 러프킨 지음 ;유영훈 옮김,솜씨컴퍼니,2024,,9.79119E+12,3510,510.4,384
148,생각의 연금술 =생각이 인생의 예언이 되는 순간 /Changing fate ,지은이: 제임스 알렌 ;함희영,콘텐츠그룹 포레스트,2024,,9.79119E+12,3320,325.211,383
149,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,4,9.78896E+12,4810,813.6,380
149,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,5,9.78896E+12,4810,813.6,380
149,전설의 보스 =이원호 장편소설 /The boss of legend ,이원호 지음,한결미디어,2021,2,9.79116E+12,4810,813.62,380
149,AI 사피엔스 =전혀 다른 세상의 인류 /Artificial Intelligence sapiens ,최재붕 지음,쌤앤파커스,2024,,9.79117E+12,3320,331.5412,380
153,새들이 남쪽으로 가는 날 :리사 리드센 소설 ,지은이: 리사 리드센 ;옮긴이: 손화수,책읽어주는남자,2024,,9.79119E+12,3850,859.7,379
154,건너가는 자 ,최진석 지음,쌤앤파커스,2024,,9.79117E+12,3150,223.53,377
155,"객주 5 - 제2부 경상, 개정판",김주영 (지은이),문학동네,2013,5,9.78895E+12,,813.6,374
155,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,4,9.78897E+12,4810,813.6,374
157,여수의 사랑 ,지은이: 한강,문학과지성사,2012,,9.78893E+12,3810,813.62,373
157,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79117E+12,3810,813.7,373
157,"오십에 읽는 주역 :팔자, 운세, 인생을 바꾸는 3,000년의 지혜 ",강기진 지음,유노콘텐츠그룹,2023,,9.79119E+12,3140,141.2,373
160,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,7,9.78897E+12,4810,813.6,372
160,한국인 :이원호 기업개척사 ,이원호 지음,한결미디어,2024,3,9.79116E+12,4810,813.7,372
162,(유목민의) 투자의 정석 ,유목민 지음,웅진씽크빅,2024,,9.7889E+12,3320,327.856,370
162,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,5,9.78897E+12,4810,813.6,370
162,길 위의 뇌 :뇌를 치료하는 의사 러너가 20년 동안 달리면서 알게 된 것들 ,정세희 지음,한스미디어,2024,,9.79119E+12,3190,511.1813,370
162,나이 들어 어디서 살 것인가 :건강하고 자립적인 노후를 위한 초고령 사회 공간 솔루션 ,김경인 지음,Two Rabbits(투래빗),2025,,9.7912E+12,3540,549.7,370
166,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,5,9.78897E+12,4810,813.6,369
166,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,6,9.78897E+12,4810,813.6,369
168,한국인 :이원호 기업개척사 ,이원호 지음,한결미디어,2024,4,9.79116E+12,4810,813.7,368
168,(법의학자 유성호의) 유언 노트 :후회 없는 삶을 위한 지침서 ,유성호 지음,21세기북스(북이십일 21세기북스),2025,,9.79117E+12,3100,126.5,368
168,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가? ,유시민 지음,돌베개,2023,,9.79119E+12,3400,404,368
171,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,2023,,9.79117E+12,3190,325.211,367
172,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,5,9.78897E+12,4810,813.6,364
172,"여행하는 일본사 :됴쿄에서 가고시마까지, 여행하며 공부하는 일본의 역사 ",구완회 지음,따비,2024,,9.79119E+12,3910,913,364
174,원더풀 랜드 :더글라스 케네디 장편소설 ,지은이: 더글라스 케네디 ;옮긴이: 조동섭,밝은세상,2024,,9.78898E+12,3840,843.5,363
174,우연은 비켜 가지 않는다 :줄리언 반스 장편소설 ,지은이: 줄리언 반스 ;옮긴이: 정영목,다산북스,2024,,9.79113E+12,3840,843.5,363
174,챗봇 2025 :트렌드&활용백과 ,"김덕진,서승완 지음",스마트북스,2024,,9.79119E+12,93000,4.73,363
177,60세의 마인드셋 :최고의 노인정신과 전문의가 말하는 60 이후 행복을 결정하는 7가지 태도 ,와다 히데키 지음 ;이은혜 옮김,현대지성,2024,,9.79114E+12,3190,199.7,362
177,거꾸로 읽는 세계사 ,유시민 지음,돌베개,2021,,9.79119E+12,3900,909,362
179,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,,9.78894E+12,3810,813.7,361
180,임꺽정 :벽초 홍명희 소설,[저자]: 홍명희 ;[그림]: 박재동,사계절출판사,2008,1,9.78896E+12,3810,813.6,360
180,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,6,9.78897E+12,4810,813.6,360
180,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,10,9.78897E+12,4810,813.6,360
180,소금 :박범신 장편소설 ,지은이: 박범신,한겨레출판,2013,,9.78898E+12,3810,813.62,360
180,전설의 보스 =이원호 장편소설 /The boss of legend ,이원호 지음,한결미디어,2021,3,9.79116E+12,4810,813.62,360
185,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,10,9.78895E+12,4810,813.62,359
186,"죽음은 직선이 아니다 :암, 도전, 진화 그리고 삶과 죽음에 대한 매혹적인 탐구 ",김범석 지음,흐름출판,2025,,9.78897E+12,3510,510.4,357
186,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,8,9.78897E+12,4810,813.6,357
188,지능의 기원 :우리의 뇌 그리고 AI를 만든 다섯 번의 혁신 ,지은이: 맥스 베넷 ;옮긴이: 김성훈,길벗,2025,,9.79114E+12,3400,511.1813,356
188,거래량 투자 기법 :거래량과 가격의 비밀을 밝힌다! ,애나 쿨링 지음 ;송미리 옮김,이레미디어,2024,,9.79119E+12,3320,327.856,356
190,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",지은이: 팀 마샬 ;옮긴이: 김미선,사이,2016,,9.78899E+12,3300,340.98,354
191,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,9,9.78897E+12,4810,813.6,353
192,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,6,9.78895E+12,4810,813.62,352
192,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,7,9.78895E+12,4810,813.62,352
192,죽기 전에 꼭 가봐야 할 인생 여행지 :킴스트래블 국내 여행 산문집 ,지은이: 킴스트래블,용감한 까치,2024,,9.79119E+12,3910,981.102,352
195,나의 돈키호테 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2024,,9.79116E+12,3810,813.7,351
195,생각의 도약 :평범함을 뛰어넘는 초효율 사고법 ,도야마 시게히코 지음 ;전경아 옮김,Page2(페이지2북스),2025,,9.79117E+12,3320,181.3,351
195,일류의 조건 ,지은이: 사이토 다카시 ;옮긴이: 정현,필름,2024,,9.79119E+12,3190,325.211,351
195,세계사를 만든 30개 수도 이야기 =언어학자와 떠나는 매력적인 역사 기행 /History of 30 capitals ,김동섭 지음,미래의창,2024,,9.79119E+12,3900,909,351
199,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,8,9.78895E+12,4810,813.62,350
200,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,8,9.78897E+12,4810,813.6,349
