순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
127,나의 돈키호테 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2024,,9.79116E+12,3810,813.7,500
129,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,1,9.78893E+12,77400,400,499
129,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법 ,엠제이 드마코 지음 ;신소영 옮김,북새통,2013,,9.78899E+12,13320,327.04,499
129,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,10,9.79117E+12,77490,472,499
129,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,15,9.79117E+12,77810,810,499
129,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,,9.79119E+12,3830,833.6,499
134,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,,9.78895E+12,3810,813.7,496
135,슈퍼노멀 :폭발적인 성과를 만드는 평범한 사람들 ,주언규 지음,웅진씽크빅,2023,,9.7889E+12,3190,325.211,495
135,제로 투 원 :스탠퍼드대학교 스타트업 최고 명강의 ,"피터 틸,이지연 옮김",한경BP,2014,,9.78895E+12,3320,325.21,495
137,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,,9.78896E+12,3810,813.7,494
138,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79116E+12,77810,810,493
138,데일 카네기 자기관리론 ,데일 카네기 지음 ;임상훈 옮김,현대지성,2021,,9.79119E+12,3320,189,493
140,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,14,9.79117E+12,77810,810,492
141,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,,9.79119E+12,3810,813.7,491
142,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,,9.78894E+12,3810,813.7,489
142,돈은 좋지만 재테크는 겁나는 너에게 ,뿅글이 지음,첨단,2023,,9.78896E+12,3320,327.04,489
142,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79117E+12,3810,813.7,489
142,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘 ",앤절라 더크워스 지음 ;김미정 옮김,비즈니스북스,2016,,9.79119E+12,3190,325.211,489
146,철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책 ,서동욱 지음,김영사,2024,,9.78893E+12,3100,104,486
147,생각에 관한 생각 :우리의 행동을 지배하는 생각의 반란 ,지은이: 대니얼 카너먼 ;옮긴이: 이창신,김영사,2018,,9.78893E+12,3320,181.3,485
