순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
122,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,2,9.79119E+12,74810,813.7,"3,998"
123,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,,9.78895E+12,3810,813.7,"3,987"
124,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,3,9.79119E+12,74810,813.7,"3,978"
125,"첫 여름, 완주 :김금희 장편소설 ",저자 : 김금희,무제,2025,,9.7912E+12,3810,813.7,"3,972"
126,어떤 어른 :김소영 에세이 ,지은이: 김소영 ;표지 및 본문 그림: 임진아,사계절(사계절출판사),2024,,9.79117E+12,3810,818,"3,967"
127,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여 ,이은경 지음,서교책방,2024,,9.7912E+12,3810,598.125,"3,965"
128,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,5,9.79119E+12,74810,813.7,"3,940"
129,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79117E+12,3810,813.7,"3,935"
130,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,5,9.78893E+12,,,"3,924"
131,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,,9.78895E+12,3810,813.7,"3,906"
132,분실물이 돌아왔습니다 :김혜정 장편소설 ,지은이: 김혜정,밀리의서재,2024,,9.79117E+12,3810,813.7,"3,897"
133,흔한남매 과학 탐험대 6 : 물리 2,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,6,9.78893E+12,,,"3,849"
134,불안 세대 :디지털 세계는 우리 아이들을 어떻게 병들게 하는가 ,조너선 하이트 지음 ;이충호 옮김,웅진씽크빅,2024,,9.7889E+12,3180,334.3,"3,842"
135,봄밤의 모든 것 :백수린 소설집 ,지은이: 백수린,문학과지성사,2025,,9.78893E+12,3810,813.7,"3,840"
136,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,2023,,9.79117E+12,3190,325.211,"3,836"
137,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,4,9.78893E+12,,,"3,826"
138,미로 속 아이 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2024,,9.78898E+12,3860,863,"3,825"
139,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,12,9.79117E+12,77490,472,"3,818"
140,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,2,9.7912E+12,74910,911,"3,812"
